"","Country","Rockets","nLaunches","nFails"
"1","CHN","Chang Zheng 1",2,0
"2","CHN","Chang Zheng 11",2,0
"3","CHN","Chang Zheng 2",1,1
"4","CHN","Chang Zheng 2C",37,1
"5","CHN","Chang Zheng 2C-III/SD",7,0
"6","CHN","Chang Zheng 2D",32,0
"7","CHN","Chang Zheng 2E",7,2
"8","CHN","Chang Zheng 2F",12,0
"9","CHN","Chang Zheng 2FT1",1,0
"10","CHN","Chang Zheng 3",13,1
"11","CHN","Chang Zheng 3A",25,0
"12","CHN","Chang Zheng 3B",38,2
"13","CHN","Chang Zheng 3B/YZ-1",1,0
"14","CHN","Chang Zheng 3C",13,0
"15","CHN","Chang Zheng 3C/YZ-1",2,0
"16","CHN","Chang Zheng 4",2,0
"17","CHN","Chang Zheng 4B",28,1
"18","CHN","Chang Zheng 4C",20,1
"19","CHN","Chang Zheng 5/YZ-2",1,0
"20","CHN","Chang Zheng 6",1,0
"21","CHN","Chang Zheng 7",1,0
"22","CHN","Chang Zheng 7/YZ-1A",1,0
"23","ESA","Ariane 1",11,2
"24","ESA","Ariane 2",6,1
"25","ESA","Ariane 3",11,1
"26","ESA","Ariane 40",7,0
"27","ESA","Ariane 42L",13,0
"28","ESA","Ariane 42P",15,1
"29","ESA","Ariane 44L",40,1
"30","ESA","Ariane 44LP",26,1
"31","ESA","Ariane 44P",15,0
"32","ESA","Ariane 5ECA",61,1
"33","ESA","Ariane 5ES",1,0
"34","ESA","Ariane 5ES/ATV",5,0
"35","ESA","Ariane 5G",16,3
"36","ESA","Ariane 5G+",3,0
"37","ESA","Ariane 5GS",6,0
"38","RUS","Kosmos 11K63",126,8
"39","RUS","Kosmos 11K65",4,2
"40","RUS","Kosmos 11K65M",445,22
"41","RUS","Kosmos 63S1",38,12
"42","RUS","Kosmos 65S3",8,1
"43","RUS","Molniya 8K78",40,20
"44","RUS","Molniya 8K78M",272,13
"45","RUS","Molniya 8K78M-PVB",8,0
"46","RUS","Proton-K",29,3
"47","RUS","Proton-K/17S40",6,0
"48","RUS","Proton-K/Briz-M",4,1
"49","RUS","Proton-K/D",37,14
"50","RUS","Proton-K/D-1",12,1
"51","RUS","Proton-K/D-2",3,0
"52","RUS","Proton-K/DM",66,5
"53","RUS","Proton-K/DM-2",110,7
"54","RUS","Proton-K/DM-2M",41,2
"55","RUS","Proton-M/Briz-M",89,8
"56","RUS","Proton-M/DM-2",6,0
"57","RUS","Proton-M/DM-3",3,2
"58","RUS","Soyuz 11A510",2,0
"59","RUS","Soyuz 11A511",32,2
"60","RUS","Soyuz 11A511L",3,0
"61","RUS","Soyuz 11A511M",8,0
"62","RUS","Soyuz-2-1A",24,2
"63","RUS","Soyuz-2-1B",22,1
"64","RUS","Soyuz-2-1V",2,1
"65","RUS","Soyuz-FG",59,0
